Hendelseskode;Ulykkeskode;Ulykkestittel;Hjelpetekst/beskrivelse;Kommentar;Nye forslag
RE1000 ;RE110 ;Jeg eller noen i reisefølget har blitt syke;En person er blitt  syk eller fått forverret helsetilstand under reisen. Kan innebære behov for legehjelp, sykehus, medisiner, transport, overnatting og reiseutgifter. Hendelsen kan også føre til ødelagt/mistet ferie, endrede reiseplaner, ekstra kostnader eller hjemreise tidligere enn planlagt.;;
RE1000 ;RE120 ;Jeg eller noen i reisefølget har blitt skadet;Situasjoner der en person blir skadet under reisen. Kan inkludere fall, snubling, kollisjon, overtråkk, vridning, slag, kutt, brudd, hjernerystelse eller andre fysiske skader. Hendelsen kan føre til legehjelp, sykehusinnleggelse, operasjon, behandling, fysioterapi og andre ekstra kostnader. ;;
RE1000 ;RE130 ;Noen i reisefølget har gått bort;Noen i reisefølget døde under reisen, og du trengte hjelp med hjemreise/hjemtransport/båretransport eller praktiske ting. ;;
RE1000 ;RE140 ;Jeg eller noen i reisefølget trenger behandling hos tannlege;Tannverk eller skade på tennene. Du trenger behandling hos tannlege etter tyggeskade, ulykke, etc.;;
RE1001 ;RE150 ;Medsinstudent med MRSA-smitte;Du er medisinstudent og fikk påvist MRSA, kunne ikke gjennomføre praksis eller jobb.;;
RE2000 ;RE210 ;Jeg har blitt utsatt for tyveri eller ran ;Du har fått frastjålet eiendeler/gjenstander. Tingene er tatt direkte fra deg, eller i nærheten av deg,  ved for eksempel veskenapping, lommetyveri eller ran.;;
RE2000 ;RE213 ;Jeg har blitt frastjålet noe fra hotellrom eller lugar;Du har fått frasjålet eiendeler/gjenstander fra ditt hotellrom eller fra din lugar ombord i båt.;;
RE2000 ;RE220 ;Jeg har blitt frastjålet noe etter innbrudd i bil;Du har hatt innbrudd i bil/leiebil/campingbil/campingvogn, fra bagasjerom, kupe, midtkonsoll, hanskerom eller lignende. ;;
RE2000 ;RE230 ;Jeg har blitt frastjålet noe etter innbrudd i bygning;Situasjoner der kunden får eiendeler stjålet etter innbrudd i en bygning, som bolig, hytte, garasje, lager eller annen oppbevaringsplass.;;
RE2001 ;RE211 ;Skade på mobil;Mobiltelefon har fått skader, som f.eks. knust skjerm, ødelagt deksel, klemskade, den har sluttet å virke, tar ikke lading, vann-/fuktskade, kondens.;;
RE2002 ;RE212 ;Skjermen på mobiltelefonen er knust;Mobiltelefon har knust skjerm/deksel foran eller bak. ;;
RE2002 ;RE214 ;Mobiltelefonen har andre skader, er stjålet eller mistet;Mobiltelefon har fått skade, som at skjermen er ødelagt uten at den er knust, har ødelagt kamera, klemskade, vann-/fuktskade, har bare sluttet og virke, tar ikke lading, eller er stjålet/mistet/blitt borte.;;
RE2010 ;RE300 ;Innbo på studentbosted er skadet eller tapt;Eiendeler har blitt ødelagt eller er tapt/mistet/stjålet/det har vært innbrudd der du bor. Det kan ha skjedd i egen leilighet/bolig, hage/uteområde, fra garasje, bod, kjeller eller loft.;;
RE2100 ;RE260 ;Jeg har fått skade på eiendeler;Eiendeler/gjenstander/ting er blitt skadet underveis på reisen. Gjelder også situasjoner der eiendeler som er leid eller lånt er skadet.;;
RE2100 ;RE270 ;Jeg har fått skade på eiendeler etter trafikkuhell/kantring;Eiendeler har blitt skadet eller har kommet bort pga kollisjon, utforkjøring eller velt i trafikken hvor det er minst et kjøretøy involvert i hendelsen, eller på grunn av velt/kantring eller grunnstøting med båt/kajakk/kano/supbrett eller lignende lignende.;;
RE2100 ;RE280 ;Jeg har fått skade på innsjekket bagasje;Bagasje/koffert eller innhold i bagasje/koffert, ble skadet mens den var innsjekket hos flyselskapet. Eksempler er ødelagt koffert, sprukket hjørne, knust hjul, gjenstander i bagasjen er knust. ;;
RE2200 ;RE240 ;Innsjekket bagasje har vært borte i mer enn 3 uker;Bagasje sendt med fly har vært borte over lengre tid. Flyselskapet har ennå ikke klart å finne den. Bagasjen/kofferten antas å være tapt.;;
RE2200 ;RE250 ;Mine eiendeler er gjenglemt, mistet eller kommet bort;Eiendeler/gjenstander er mistet eller gjenglemt, eller kanskje vet du ikke når, hvor eller hvordan tingene har blitt borte.;;
RE2300 ;RE215 ;Tyveri eller skade på sykkel;Sykkel eller elektrisk sykkel/-sparkesykkel er blitt stjålet, borte/mistet eller skadet. Kan inkludere tyveri av hele eller deler (batteri, dekk, felg og sete) av sykkelen. ;;
